id,propositions,nl_sentence,dataset_tl
15100,"['prop_1', 'prop_2', 'prop_3']","If the scenario that ( prop_3 ) is observed , then in no time ( prop_2 ) , or ( prop_1 ) .",G(prop_3 -> (prop_2 | prop_1))
15101,"['prop_1', 'prop_2', 'prop_3']","It is always the case that whenever ( prop_1 ) , and ( prop_3 ) then the following condition is true : ( prop_2 ) and then this scenario will remain in the future till the simulation ends .",G((prop_1 & prop_3) -> G prop_2)
15102,"['prop_1', 'prop_2']",( prop_1 ) or at any time ( prop_2 ),(prop_1 | F prop_2)
15103,"['prop_1', 'prop_2', 'prop_3']","Whenever ( prop_1 ) , and the transition action that ( prop_3 ) does n't get observed , then the following condition is true : ( prop_2 ) .",G((prop_1 & prop_3) -> prop_2)
15104,"['prop_1', 'prop_2', 'prop_3']","On condition that the event that ( prop_2 ) is detected , then all of the following conditions are true : ( prop_1 ) , or ( prop_3 ) .",G(prop_2 -> (prop_1 | prop_3))
15105,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever ( prop_1 ) and ( prop_2 ) then right away ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
15106,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_2 ) , and ( prop_3 ) then all of the following conditions are true : at once ( prop_1 ) .",G((prop_2 & prop_3) -> prop_1)
15107,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_1 ) , then the following condition is true : without any delay the event that ( prop_3 ) must be detected , or promptly ( prop_2 ) .",G(prop_1 -> (prop_3 | prop_2))
15108,"['prop_1', 'prop_2']","It is always the case that when ( prop_1 ) , there should exist a time during the subsequent 43 to 51 time units , at which eventually ( prop_2 ) .",G(prop_1 -> G( F prop_2))
15109,"['prop_1', 'prop_2']",at any time ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2)
15110,"['prop_1', 'prop_2']","Globally , in case that ( prop_1 ) , then without interruption ( prop_2 ) .",G(prop_1 -> prop_2)
15111,"['prop_1', 'prop_2', 'prop_3']",It is always the case that everytime when the event that ( prop_2 ) is detected then ( prop_1 ) and ( prop_3 ) .,G(prop_2 -> (prop_1 & prop_3))
15112,"['prop_1', 'prop_2']","Globally , in case ( prop_1 ) , then at the same moment ( prop_2 ) .",G(prop_1 -> prop_2)
15113,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","In the case the event that ( prop_2 ) gets detected , or ( prop_1 ) , then all of the following conditions are true : ( prop_4 ) or ( prop_3 ) .",G((prop_2 | prop_1) -> (prop_4 | prop_3))
15114,"['prop_1', 'prop_2', 'prop_3']","If (prop_2), (prop_1) and (prop_3) as well.",(prop_2 -> (prop_1 & prop_3))
15115,"['prop_1', 'prop_2']",( prop_1 ) until never ( prop_2 ),(prop_1 U G(~prop_2))
15116,"['prop_1', 'prop_2']",never ( prop_1 ) and whenever ( prop_2 ),G(~prop_1 & F prop_2)
15117,"['prop_1', 'prop_2', 'prop_3']","While ( prop_1 ) and ( prop_2 ) , then all of the following conditions hold : ( prop_3 ) and then consecutively this condition will have to continue in the future till the simulation ends .",G((prop_1 & prop_2) -> G prop_3)
15118,"['prop_1', 'prop_2']",at any time ( prop_1 ) and whenever ( prop_2 ),F(prop_1 & F prop_2)
15119,"['prop_1', 'prop_2', 'prop_3']",During the interval that ( prop_1 ) then all of the following conditions hold : at the same time point ( prop_3 ) and ( prop_2 ) .,G(prop_1 -> (prop_3 & prop_2))
15120,['prop_1'],Sooner or later (prop_1),F prop_1
15121,"['prop_1', 'prop_2']",at any time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
15122,"['prop_1', 'prop_2']",when possible ( prop_1 ) and when possible ( prop_2 ),F(prop_1 & F prop_2)
15123,"['prop_1', 'prop_2']","It is always the case that in case that the transition action that ( prop_1 ) gets detected , then in response ( prop_2 ) .",G(prop_1 -> prop_2)
15124,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that the scenario that ( prop_3 ) occurs then all of the following conditions hold : ( prop_1 ) and ( prop_2 ) .",G(prop_3 -> (prop_1 & prop_2))
15125,"['prop_1', 'prop_2']",whenever ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
15126,"['prop_1', 'prop_2', 'prop_3']",It is always the case that if ( prop_2 ) and ( prop_3 ) then all of the following conditions are true : ( prop_1 ) .,G((prop_2 & prop_3) -> prop_1)
15127,"['prop_1', 'prop_2']",( prop_1 ) or at any time ( prop_2 ),(prop_1 | F prop_2)
15128,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever the scenario that ( prop_1 ) occurs , then the following condition holds : ( prop_2 ) , and at the same time instant ( prop_3 ) .",G(prop_1 -> (prop_2 & prop_3))
15129,"['prop_1', 'prop_2', 'prop_3']","In the case the event that ( prop_3 ) gets detected , then the following condition is true : at the same time ( prop_1 ) or at the same moment ( prop_2 ) .",G(prop_3 -> (prop_1 | prop_2))
15130,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_2 ) and ( prop_3 ) , then all of the following conditions are true : at once ( prop_1 ) .",G((prop_2 & prop_3) -> prop_1)
15131,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","When ( prop_1 ) and ( prop_4 ) , then the following condition is true : at once ( prop_2 ) and at once ( prop_3 ) .",G((prop_1 & prop_4) -> (prop_2 & prop_3))
15132,"['prop_1', 'prop_2', 'prop_3']","Everytime when ( prop_2 ) or ( prop_1 ) , then all of the following conditions are true : in the future ( prop_3 ) .",G((prop_2 | prop_1) -> G prop_3)
15133,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when the transition action that ( prop_3 ) happens then all of the following conditions are true : simultaneously ( prop_2 ) , and at the same moment ( prop_1 ) .",G(prop_3 -> (prop_2 & prop_1))
15134,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_1 ) then in response ( prop_2 ) , and the event that ( prop_3 ) has to get detected at the same time .",G(prop_1 -> (prop_2 & prop_3))
15135,"['prop_1', 'prop_2']",( prop_1 ) and when possible ( prop_2 ),(prop_1 & F prop_2)
15136,"['prop_1', 'prop_2', 'prop_3']","Globally , when the transition action that ( prop_1 ) occurs then the following condition is true : ( prop_3 ) and ( prop_2 ) .",G(prop_1 -> (prop_3 & prop_2))
15137,"['prop_1', 'prop_2', 'prop_3']","Globally , if the transition action that ( prop_2 ) is observed or ( prop_1 ) then the following condition holds : ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
15138,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever ( prop_3 ) then the following condition is true : the event that ( prop_2 ) shall promptly not get detected and immediately ( prop_1 ) .",G(prop_3 -> (prop_2 & prop_1))
15139,"['prop_1', 'prop_2']",It is always the case that whenever the event that ( prop_1 ) is detected then all of the following conditions are true : ( prop_2 ) .,G(prop_1 -> prop_2)
15140,"['prop_1', 'prop_2']",at some time ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2)
15141,"['prop_1', 'prop_2']",( prop_1 ) or at any time ( prop_2 ),(prop_1 | F prop_2)
15142,"['prop_1', 'prop_2']",always ( prop_1 ) or at some time ( prop_2 ),G(prop_1 | F prop_2)
15143,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","It is always the case that in case that ( prop_3 ) , or ( prop_4 ) , then all of the following conditions hold : instantly ( prop_2 ) , and ( prop_1 ) .",G((prop_3 | prop_4) -> (prop_2 & prop_1))
15144,"['prop_1', 'prop_2', 'prop_3']","On condition that ( prop_1 ) , then ( prop_3 ) and promptly the event that ( prop_2 ) shall be observed .",G(prop_1 -> (prop_3 & prop_2))
15145,"['prop_1', 'prop_2']",at some time ( prop_1 ) and at any time ( prop_2 ),F(prop_1 & F prop_2)
15146,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when ( prop_1 ) , or ( prop_3 ) then the following condition is true : right away ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2)
15147,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the event that ( prop_1 ) takes place , then the following condition is true : the event that ( prop_2 ) must be observed at the same time point , and ( prop_3 ) .",G(prop_1 -> (prop_2 & prop_3))
15148,"['prop_1', 'prop_2', 'prop_3']","If the scenario that ( prop_2 ) is observed , then in no time ( prop_3 ) , or ( prop_1 ) .",G(prop_2 -> (prop_3 | prop_1))
15149,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when the event that ( prop_3 ) occurs , then all of the following conditions hold : ( prop_2 ) and promptly ( prop_1 ) .",G(prop_3 -> (prop_2 & prop_1))
15150,"['prop_1', 'prop_2']",( prop_1 ) or ( prop_2 ),(prop_1 | prop_2)
15151,"['prop_1', 'prop_2']","Globally , if ( prop_1 ) then ( prop_2 ) .",G(prop_1 -> prop_2)
15152,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when the scenario that ( prop_3 ) gets detected , then in response at the same time instant ( prop_1 ) or right away ( prop_2 ) .",G(prop_3 -> (prop_1 | prop_2))
15153,"['prop_1', 'prop_2', 'prop_3']","Globally , when ( prop_1 ) or the event that ( prop_2 ) occurs then all of the following conditions are true : ( prop_3 ) .",G((prop_1 | prop_2) -> prop_3)
15154,"['prop_1', 'prop_2']",at some time ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2)
15155,"['prop_1', 'prop_2', 'prop_3']","If ( prop_3 ) and ( prop_2 ) , then the following condition is true : ( prop_1 ) .",G((prop_3 & prop_2) -> prop_1)
15156,"['prop_1', 'prop_2', 'prop_3']","When the transition action that ( prop_3 ) takes place , then the following condition holds : ( prop_1 ) , or the scenario that ( prop_2 ) needs to get observed at the same time .",G(prop_3 -> (prop_1 | prop_2))
15157,"['prop_1', 'prop_2']",( prop_1 ) means that at some time ( prop_2 ),(prop_1 -> F prop_2)
15158,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever ( prop_2 ) , and ( prop_1 ) then all of the following conditions hold : ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
15159,"['prop_1', 'prop_2']","if never ( prop_1 ) , ( prop_2 )",(G(~prop_1) -> prop_2)
15160,"['prop_1', 'prop_2']",at some time ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2)
15161,"['prop_1', 'prop_2']",don't ( prop_1 ) and at some time ( prop_2 ),~(prop_1 & F prop_2)
15162,"['prop_1', 'prop_2', 'prop_3']",As soon as ( prop_1 ) and ( prop_3 ) then the following condition is true : at the same time ( prop_2 ) .,G((prop_1 & prop_3) -> prop_2)
15163,"['prop_1', 'prop_2', 'prop_3']","Either (prop_3) happens until (prop_2), or make sure (prop_1) does not happen .",((prop_3 U prop_2) | ~prop_1)
15164,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_2 ) and ( prop_3 ) then the following condition is true : after a time in the future uninterruptedly ( prop_1 ) .",G((prop_2 & prop_3) -> F( G prop_1))
15165,"['prop_1', 'prop_2']",Everytime when the scenario that ( prop_1 ) is observed then the following condition holds : ( prop_2 ) .,G(prop_1 -> prop_2)
15166,"['prop_1', 'prop_2', 'prop_3']","Everytime when ( prop_2 ) , and ( prop_3 ) then the following condition holds : ( prop_1 ) .",G((prop_2 & prop_3) -> prop_1)
15167,"['prop_1', 'prop_2']",( prop_1 ) or when possible ( prop_2 ),(prop_1 | F prop_2)
15168,"['prop_1', 'prop_2', 'prop_3']",On condition that the transition action that ( prop_2 ) is observed and ( prop_3 ) then ( prop_1 ) .,G((prop_2 & prop_3) -> F prop_1)
15169,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the event that ( prop_3 ) occurs , then the following condition holds : simultaneously ( prop_1 ) or ( prop_2 ) .",G(prop_3 -> (prop_1 | prop_2))
15170,"['prop_1', 'prop_2', 'prop_3']","Globally , if ( prop_3 ) , then the following condition is true : ( prop_1 ) , or at the same time point ( prop_2 ) .",G(prop_3 -> (prop_1 | prop_2))
15171,"['prop_1', 'prop_2', 'prop_3']","Globally , when ( prop_2 ) then all of the following conditions are true : ( prop_3 ) , and ( prop_1 ) .",G(prop_2 -> (prop_3 & prop_1))
15172,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_1 ) and the scenario that ( prop_2 ) occurs , then ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
15173,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when ( prop_3 ) and ( prop_1 ) , then in response there is eventually sometime in the future before the end of the simulation , at which ( prop_2 ) .",G((prop_3 & prop_1) -> F prop_2)
15174,"['prop_1', 'prop_2']",whenever ( prop_1 ) until whenever ( prop_2 ),F(prop_1 U F prop_2)
15175,"['prop_1', 'prop_2', 'prop_3']","It is always the case that everytime when the transition action that ( prop_2 ) happens , then all of the following conditions are true : ( prop_1 ) , or promptly ( prop_3 ) .",G(prop_2 -> (prop_1 | prop_3))
15176,"['prop_1', 'prop_2', 'prop_3']",In case that the scenario that ( prop_3 ) occurs then the following condition holds : at the same time ( prop_1 ) and ( prop_2 ) .,G(prop_3 -> (prop_1 & prop_2))
15177,"['prop_1', 'prop_2', 'prop_3']",In the event that ( prop_1 ) and ( prop_2 ) then all of the following conditions are true : ( prop_3 ) .,G((prop_1 & prop_2) -> prop_3)
15178,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that ( prop_1 ) , or the scenario that ( prop_2 ) is detected then the following condition holds : ( prop_3 ) .",G((prop_1 | prop_2) -> prop_3)
15179,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If ( prop_2 ) and ( prop_4 ) then the following condition is true : at once ( prop_1 ) , or starting without any delay ( prop_3 ) .",G((prop_2 & prop_4) -> (prop_1 | prop_3))
15180,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_1 ) and ( prop_3 ) , then the following condition is true : ( prop_2 ) .",G((prop_1 & prop_3) -> prop_2)
15181,"['prop_1', 'prop_2']",when possible ( prop_1 ) or never ( prop_2 ),F(prop_1 | G(~prop_2))
15182,"['prop_1', 'prop_2']",whenever ( prop_1 ) until at some time ( prop_2 ),F(prop_1 U F prop_2)
15183,"['prop_1', 'prop_2', 'prop_3']","It is always the case that if ( prop_3 ) , and ( prop_2 ) , then in response ( prop_1 ) .",G((prop_3 & prop_2) -> prop_1)
15184,"['prop_1', 'prop_2']",never ( prop_1 ) and ( prop_2 ),G(~prop_1 & prop_2)
15185,"['prop_1', 'prop_2', 'prop_3']","On condition that ( prop_2 ) , or ( prop_3 ) , then all of the following conditions are true : consecutively the scenario that ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
15186,"['prop_1', 'prop_2', 'prop_3']","In the case the event that ( prop_3 ) gets detected then at the same time the event that ( prop_1 ) is detected , and ( prop_2 ) .",G(prop_3 -> (prop_1 & prop_2))
15187,"['prop_1', 'prop_2']",( prop_1 ) and at any time ( prop_2 ),(prop_1 & F prop_2)
15188,"['prop_1', 'prop_2']",when possible ( prop_1 ) and whenever ( prop_2 ),F(prop_1 & F prop_2)
15189,"['prop_1', 'prop_2', 'prop_3']","If (prop_2) is always true, then if (prop_1) happens, make sure (prop_3) does too .",( G prop_2 -> (prop_1 -> prop_3))
15190,"['prop_1', 'prop_2']",when possible ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2)
15191,"['prop_1', 'prop_2', 'prop_3']","If (prop_2), then (prop_3), or else make sure (prop_1) happens finally .",((prop_2 -> prop_3) | F prop_1)
15192,"['prop_1', 'prop_2']","Globally , if ( prop_1 ) then ( prop_2 ) .",G(prop_1 -> prop_2)
15193,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If ( prop_3 ) then ( prop_1 ) , or else ( prop_4 ) , and also ( prop_2 ) .",(((prop_3 -> prop_1) | prop_4) & prop_2)
15194,"['prop_1', 'prop_2', 'prop_3']","While ( prop_1 ) or ( prop_2 ) , then all of the following conditions hold : there ought to be a certain time instant in the future before the end of the simulation , at which the scenario that ( prop_3 ) will be finally detected .",G((prop_1 | prop_2) -> F prop_3)
15195,"['prop_1', 'prop_2']",at some time ( prop_1 ) or never ( prop_2 ),F(prop_1 | G(~prop_2))
15196,"['prop_1', 'prop_2']",at some time ( prop_1 ) and when possible ( prop_2 ),F(prop_1 & F prop_2)
15197,"['prop_1', 'prop_2']",at any time ( prop_1 ) can infer that whenever ( prop_2 ),( F prop_1 -> F prop_2)
15198,['prop_1'],(prop_1),F prop_1
15199,"['prop_1', 'prop_2', 'prop_3']","At some point (prop_1) doesn't happen and (prop_3) does, or always (prop_2) .",((~prop_1 & prop_3) | G prop_2)
15200,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when ( prop_3 ) , then all of the following conditions are true : ( prop_1 ) and ( prop_2 ) .",G(prop_3 -> (prop_1 & prop_2))
15201,"['prop_1', 'prop_2', 'prop_3']","In case the transition action ( prop_3 ) takes place, then the following conditions must be met: ( prop_2 ) and the transition action ( prop_1 ) has to happen at the same time.",G(prop_3 -> (prop_2 & prop_1))
15202,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_2 ) then ( prop_3 ) , and instantly the transition action that ( prop_1 ) needs to take place .",G(prop_2 -> (prop_3 & prop_1))
15203,"['prop_1', 'prop_2', 'prop_3']",In the case ( prop_1 ) or ( prop_2 ) then at the same time instant ( prop_3 ) .,G((prop_1 | prop_2) -> prop_3)
15204,"['prop_1', 'prop_2', 'prop_3']",On condition that ( prop_2 ) then all of the following conditions hold : promptly the transition action that ( prop_3 ) will be detected and immediately ( prop_1 ) .,G(prop_2 -> (prop_3 & prop_1))
15205,"['prop_1', 'prop_2']",whenever ( prop_1 ) can infer that at some time ( prop_2 ),( F prop_1 -> F prop_2)
15206,"['prop_1', 'prop_2', 'prop_3']",Everytime when ( prop_2 ) or ( prop_3 ) then at the same time the event that ( prop_1 ) will happen .,G((prop_2 | prop_3) -> prop_1)
15207,"['prop_1', 'prop_2', 'prop_3']","Globally , when ( prop_3 ) and the transition action that ( prop_2 ) takes place then the following condition is true : for every time instant in the future before the execution ends at a certain time instant within the following 42 time units , ultimately the event that ( prop_1 ) has to happen .",G((prop_3 & prop_2) -> G( F prop_1))
15208,"['prop_1', 'prop_2', 'prop_3']","If the scenario ( prop_1 ) is observed, then the event ( prop_3 ) ought to get detected without any delay, or ( prop_2 ) ..",G(prop_1 -> (prop_3 | prop_2))
15209,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","It is always the case that while ( prop_3 ) , and ( prop_2 ) , then at the same moment ( prop_4 ) , and the scenario that ( prop_1 ) will occur at the same time point .",G((prop_3 & prop_2) -> (prop_4 & prop_1))
15210,"['prop_1', 'prop_2']",at some time ( prop_1 ) or at some time ( prop_2 ),F(prop_1 | F prop_2)
15211,"['prop_1', 'prop_2', 'prop_3']","It is always the case that everytime when the event that ( prop_2 ) is observed , then the scenario that ( prop_1 ) will ultimately get detected at a certain time point in the future before the end of the execution , till then uninterruptedly ( prop_3 ) .",G(prop_2 -> (prop_1 U prop_3))
15212,"['prop_1', 'prop_2']",whenever ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
15213,"['prop_1', 'prop_2', 'prop_3']",Everytime when ( prop_3 ) then the following condition holds : ( prop_1 ) or at once ( prop_2 ) .,G(prop_3 -> (prop_1 | prop_2))
15214,"['prop_1', 'prop_2']",whenever ( prop_1 ) and always ( prop_2 ),F(prop_1 & G prop_2)
15215,"['prop_1', 'prop_2']",when possible ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
15216,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_2 ) and ( prop_1 ) then all of the following conditions hold : ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
15217,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","In case that ( prop_4 ) , and ( prop_2 ) then all of the following conditions are true : at the same time point ( prop_3 ) or ( prop_1 ) .",G((prop_4 & prop_2) -> (prop_3 | prop_1))
15218,"['prop_1', 'prop_2', 'prop_3']","On condition that the event that ( prop_1 ) is observed , then all of the following conditions are true : ( prop_3 ) and the scenario that ( prop_2 ) will have to be observed immediately .",G(prop_1 -> (prop_3 & prop_2))
15219,"['prop_1', 'prop_2', 'prop_3']","Globally , when the scenario that ( prop_2 ) gets observed then the following condition holds : without any delay ( prop_3 ) , and the event that ( prop_1 ) will get observed right away .",G(prop_2 -> (prop_3 & prop_1))
15220,"['prop_1', 'prop_2', 'prop_3']","As soon as the transition action that ( prop_2 ) is observed , then all of the following conditions are true : right away the event that ( prop_3 ) has to get detected , and the scenario that ( prop_1 ) ought to be observed at the same moment .",G(prop_2 -> (prop_3 & prop_1))
15221,"['prop_1', 'prop_2', 'prop_3']","As soon as ( prop_3 ) , or ( prop_2 ) then in response at a certain moment in the future before the end of the simulation finally ( prop_1 ) .",G((prop_3 | prop_2) -> F prop_1)
15222,"['prop_1', 'prop_2', 'prop_3']","Globally , if the event that ( prop_3 ) does n't get detected or ( prop_1 ) , then all of the following conditions are true : in no time ( prop_2 ) .",G((prop_3 | prop_1) -> prop_2)
15223,"['prop_1', 'prop_2']",( prop_1 ) or at any time ( prop_2 ),(prop_1 | F prop_2)
15224,"['prop_1', 'prop_2', 'prop_3']","Whenever the scenario that ( prop_3 ) is observed , then in response there has to be a certain time point in the future before the end of the simulation , at which finally ( prop_2 ) , and before ( prop_1 ) .",G(prop_3 -> (prop_2 U prop_1))
15225,"['prop_1', 'prop_2', 'prop_3']","While ( prop_1 ) , the transition action that ( prop_3 ) should be observed eventually , and till then continuously ( prop_2 ) .",G(prop_1 -> (prop_3 U prop_2))
15226,"['prop_1', 'prop_2', 'prop_3']",On condition that the transition action that ( prop_2 ) happens then the following condition is true : ( prop_3 ) and the scenario that ( prop_1 ) shall occur at the same time .,G(prop_2 -> (prop_3 & prop_1))
15227,"['prop_1', 'prop_2']",never ( prop_1 ) or repeatedly ( prop_2 ),G(~prop_1 | G( F prop_2))
15228,"['prop_1', 'prop_2']",when possible ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2)
15229,"['prop_1', 'prop_2', 'prop_3']","For all time, (prop_2) is true, and at the same time, (prop_1) and (prop_3) are both true .",( G prop_2 & (prop_1 & prop_3))
15230,"['prop_1', 'prop_2', 'prop_3']","You should do either (prop_3) or (prop_2), or else you should not do (prop_1) .",((prop_3 | prop_2) | ~prop_1)
15231,"['prop_1', 'prop_2']",at some time ( prop_1 ) or at any time ( prop_2 ),F(prop_1 | F prop_2)
15232,"['prop_1', 'prop_2', 'prop_3']",It is always the case that when the event that ( prop_1 ) gets detected or ( prop_2 ) then all of the following conditions hold : promptly the scenario that ( prop_3 ) will have to get detected .,G((prop_1 | prop_2) -> prop_3)
15233,"['prop_1', 'prop_2']",when possible ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2)
15234,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_2 ) , or ( prop_3 ) then at a certain time point in the future before the execution ends , ( prop_1 ) .",G((prop_2 | prop_3) -> F prop_1)
15235,"['prop_1', 'prop_2', 'prop_3']","Globally , while ( prop_3 ) and ( prop_1 ) , then all of the following conditions are true : ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
15236,"['prop_1', 'prop_2']","In case that the event that ( prop_1 ) gets detected , then the following condition is true : at the same time ( prop_2 ) .",G(prop_1 -> prop_2)
15237,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_2 ) or ( prop_1 ) , then all of the following conditions hold : ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
15238,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that the transition action that ( prop_3 ) happens , then in response promptly ( prop_2 ) , or immediately ( prop_1 ) .",G(prop_3 -> (prop_2 | prop_1))
15239,"['prop_1', 'prop_2', 'prop_3']","Whenever the scenario that ( prop_3 ) happens then in response without any delay the transition action that ( prop_2 ) needs to get observed , and ( prop_1 ) .",G(prop_3 -> (prop_2 & prop_1))
15240,"['prop_1', 'prop_2', 'prop_3']","Globally , if the event that ( prop_3 ) is observed , then all of the following conditions are true : the transition action that ( prop_1 ) needs to be simultaneously observed and the event that ( prop_2 ) will have to occur without any delay .",G(prop_3 -> (prop_1 & prop_2))
15241,"['prop_1', 'prop_2', 'prop_3']","Globally , when ( prop_1 ) or ( prop_3 ) then the following condition holds : at the same time point ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2)
15242,"['prop_1', 'prop_2']",whenever ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2)
15243,"['prop_1', 'prop_2', 'prop_3']","Whenever the scenario that ( prop_2 ) gets detected , then in response at the same time point the event that ( prop_3 ) has to take place or ( prop_1 ) .",G(prop_2 -> (prop_3 | prop_1))
15244,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_3 ) , and ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_3 & prop_2) -> F prop_1)
15245,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that ( prop_3 ) , and ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_3 & prop_2) -> prop_1)
15246,"['prop_1', 'prop_2']",never ( prop_1 ) and ( prop_2 ),G(~prop_1 & prop_2)
15247,"['prop_1', 'prop_2', 'prop_3']","Everytime when the transition action that ( prop_2 ) occurs , then in response starting without any delay ( prop_3 ) , and ( prop_1 ) .",G(prop_2 -> (prop_3 & prop_1))
15248,"['prop_1', 'prop_2', 'prop_3']","It is always the case that in case that the scenario that ( prop_2 ) gets detected , then all of the following conditions hold : without any delay the transition action that ( prop_1 ) will have to get observed or at the same time instant ( prop_3 ) .",G(prop_2 -> (prop_1 | prop_3))
15249,"['prop_1', 'prop_2', 'prop_3']",In the case ( prop_3 ) and the scenario that ( prop_2 ) does n't take place then the following condition is true : at the same time ( prop_1 ) .,G((prop_3 & prop_2) -> prop_1)
15250,"['prop_1', 'prop_2']",whenever ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
15251,"['prop_1', 'prop_2']",whenever ( prop_1 ) and whenever ( prop_2 ),F(prop_1 & F prop_2)
15252,"['prop_1', 'prop_2']",( prop_1 ) or never ( prop_2 ),(prop_1 | G(~prop_2))
15253,"['prop_1', 'prop_2', 'prop_3']","In the event that ( prop_1 ) , and ( prop_3 ) then the transition action that ( prop_2 ) is detected immediately .",G((prop_1 & prop_3) -> prop_2)
15254,"['prop_1', 'prop_2']",It is always the case that whenever the event that ( prop_1 ) occurs then the following condition is true : ( prop_2 ) .,G(prop_1 -> prop_2)
15255,"['prop_1', 'prop_2']",whenever ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2)
15256,"['prop_1', 'prop_2', 'prop_3']","As soon as the scenario that ( prop_3 ) gets observed , then all of the following conditions are true : at once ( prop_1 ) , or in no time ( prop_2 ) .",G(prop_3 -> (prop_1 | prop_2))
15257,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever ( prop_1 ) , then all of the following conditions hold : ( prop_3 ) and ( prop_2 ) .",G(prop_1 -> (prop_3 & prop_2))
15258,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_2 ) , or ( prop_1 ) , then instantly ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
15259,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_1 ) , or ( prop_3 ) , then ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2)
15260,"['prop_1', 'prop_2', 'prop_3']","When ( prop_2 ) , or ( prop_3 ) then ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
15261,"['prop_1', 'prop_2']",When the transition action that ( prop_1 ) happens then all of the following conditions are true : ( prop_2 ) .,G(prop_1 -> prop_2)
15262,"['prop_1', 'prop_2']",( prop_1 ) or at any time ( prop_2 ),(prop_1 | F prop_2)
15263,"['prop_1', 'prop_2', 'prop_3']","Globally , if ( prop_1 ) and the scenario that ( prop_2 ) takes place then the following condition is true : promptly ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
